#Data tag : online , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/fb),recorded(/fb),avgpu,source
402816:11589,1:1,04/11/26 18:32:57,STABLE BEAMS,6799,0.000039895,0.000020667,5.0,HFET
402816:11589,2:2,04/11/26 18:33:20,STABLE BEAMS,6799,0.000039686,0.000038632,4.9,HFET
402816:11589,3:3,04/11/26 18:33:44,STABLE BEAMS,6799,0.000039493,0.000038524,4.9,HFET
402816:11589,4:4,04/11/26 18:34:07,STABLE BEAMS,6799,0.000039486,0.000019597,4.9,HFET
402816:11589,5:5,04/11/26 18:34:30,STABLE BEAMS,6799,0.000039332,0.000029703,4.9,HFET
402816:11589,6:6,04/11/26 18:34:54,STABLE BEAMS,6799,0.000039243,0.000038150,4.9,HFET
402816:11589,7:7,04/11/26 18:35:17,STABLE BEAMS,6799,0.000039311,0.000038310,4.9,HFET
402816:11589,8:8,04/11/26 18:35:40,STABLE BEAMS,6799,0.000039187,0.000038239,4.9,HFET
402816:11589,9:9,04/11/26 18:36:04,STABLE BEAMS,6799,0.000039241,0.000038337,4.9,HFET
402816:11589,10:10,04/11/26 18:36:27,STABLE BEAMS,6799,0.000039473,0.000029045,4.9,HFET
402816:11589,11:11,04/11/26 18:36:50,STABLE BEAMS,6799,0.000039619,0.000035393,4.9,HFET
402816:11589,12:12,04/11/26 18:37:14,STABLE BEAMS,6799,0.000039537,0.000038521,4.9,HFET
402816:11589,13:13,04/11/26 18:37:37,STABLE BEAMS,6799,0.000039370,0.000038362,4.9,HFET
402816:11589,14:14,04/11/26 18:38:00,STABLE BEAMS,6799,0.000039645,0.000038443,4.9,HFET
402816:11589,15:15,04/11/26 18:38:24,STABLE BEAMS,6799,0.000039653,0.000038552,4.9,HFET
402816:11589,16:16,04/11/26 18:38:47,STABLE BEAMS,6799,0.000039804,0.000029815,5.0,HFET
402816:11589,17:17,04/11/26 18:39:10,STABLE BEAMS,6799,0.000039810,0.000038877,5.0,HFET
402816:11589,18:18,04/11/26 18:39:34,STABLE BEAMS,6799,0.000039720,0.000038788,5.0,HFET
402816:11589,19:19,04/11/26 18:39:57,STABLE BEAMS,6799,0.000039464,0.000038544,4.9,HFET
402816:11589,20:20,04/11/26 18:40:20,STABLE BEAMS,6799,0.000039518,0.000038628,4.9,HFET
402816:11589,21:21,04/11/26 18:40:43,STABLE BEAMS,6799,0.000039460,0.000038585,4.9,HFET
402816:11589,22:22,04/11/26 18:41:07,STABLE BEAMS,6799,0.000039646,0.000038761,4.9,HFET
402816:11589,23:23,04/11/26 18:41:30,STABLE BEAMS,6799,0.000039652,0.000038767,4.9,HFET
402816:11589,24:24,04/11/26 18:41:53,STABLE BEAMS,6799,0.000039523,0.000038612,4.9,HFET
402816:11589,25:25,04/11/26 18:42:17,STABLE BEAMS,6799,0.000039709,0.000038834,5.0,HFET
402816:11589,26:26,04/11/26 18:42:40,STABLE BEAMS,6799,0.000039723,0.000038852,5.0,HFET
402816:11589,27:27,04/11/26 18:43:03,STABLE BEAMS,6799,0.000039448,0.000038583,4.9,HFET
402816:11589,28:28,04/11/26 18:43:27,STABLE BEAMS,6799,0.000039437,0.000037996,4.9,HFET
402816:11589,29:29,04/11/26 18:43:50,STABLE BEAMS,6799,0.000039873,0.000039000,5.0,HFET
402816:11589,30:30,04/11/26 18:44:13,STABLE BEAMS,6799,0.000039058,0.000038225,4.9,HFET
402816:11589,31:31,04/11/26 18:44:37,STABLE BEAMS,6799,0.000039449,0.000038589,4.9,HFET
402816:11589,32:32,04/11/26 18:45:00,STABLE BEAMS,6799,0.000039485,0.000038637,4.9,HFET
402816:11589,33:33,04/11/26 18:45:23,STABLE BEAMS,6799,0.000039313,0.000038467,4.9,HFET
402816:11589,34:34,04/11/26 18:45:46,STABLE BEAMS,6799,0.000039310,0.000038450,4.9,HFET
402816:11589,35:35,04/11/26 18:46:10,STABLE BEAMS,6799,0.000039534,0.000038675,4.9,HFET
